p_code,mmi_max,total_population,index_cnt_vdc,index_rate_vdc,index_den_vdc
C-JAN-17-043,6.75,9449,6.5,7.7,8.4
C-JAN-17-044,6.63,5051,6.4,7.9,8.6
C-JAN-17-045,6.59,4139,6.4,8,9
C-JAN-17-046,6.46,3337,6.3,8,9.1
C-JAN-17-047,6.6,5001,6.4,7.9,8.9
C-JAN-17-048,6.73,97776,6.5,6.4,8.3
C-JAN-17-049,6.66,5110,6.4,7.9,9
C-JAN-17-050,6.65,4352,6.4,8,9
C-JAN-17-051,6.71,5830,6.5,7.9,8.9
C-JAN-17-052,6.69,5218,6.5,7.9,9
C-JAN-17-053,6.66,5620,6.4,7.9,9
C-JAN-17-054,6.47,5974,6.3,7.7,8.9
C-JAN-17-055,6.63,9998,6.4,7.6,8.7
C-JAN-17-056,6.77,7815,6.5,7.8,8.8
C-JAN-17-057,6.65,5106,6.4,7.9,8.6
C-JAN-17-058,6.56,5330,6.4,7.8,9.1
C-JAN-17-059,6.62,3047,6.4,8.2,9
C-JAN-17-060,6.52,4091,6.3,8,8.5
C-JAN-17-061,6.84,3617,6.5,8.2,8.9
C-JAN-17-062,6.75,7142,6.5,7.8,9
C-JAN-17-063,6.65,6927,6.4,7.8,8.9
C-JAN-17-064,6.48,4852,6.3,7.8,9.1
C-JAN-17-065,6.66,5782,6.4,7.9,8.9
C-JAN-17-066,6.71,7086,6.5,7.8,8.7
C-JAN-17-067,6.65,4385,6.4,8,8.9
C-JAN-17-068,6.5,9278,6.3,7.5,8.6
C-JAN-17-069,6.69,3863,6.5,8.1,9.2
C-JAN-17-070,6.69,7154,6.5,7.8,9
C-JAN-17-071,6.49,7355,6.3,7.6,8.7
C-JAN-17-072,6.55,6197,6.4,7.8,8.7
C-JAN-17-073,6.79,8543,6.5,7.7,8.1
C-JAN-17-074,6.62,3572,6.4,8.1,8.9
C-JAN-17-075,6.65,4690,6.4,8,8.9
C-JAN-17-076,6.62,3777,6.4,8.1,9.1
C-JAN-17-077,6.46,3487,6.3,8,8.9
C-JAN-17-078,6.69,4941,6.5,8,8.7
C-JAN-17-079,6.64,6070,6.4,7.8,8.8
C-JAN-17-080,6.74,2594,6.5,8.3,8.1
C-JAN-17-081,6.69,12944,6.5,7.5,8.2
C-JAN-17-082,6.8,7066,6.5,7.8,9.1
C-JAN-17-083,6.71,8548,6.5,7.7,9.2
C-JAN-17-084,6.8,17835,6.5,7.4,8.4
C-JAN-17-085,6.8,9017,6.5,7.7,8.7
C-JAN-17-086,6.71,5745,6.5,7.9,9
C-JAN-17-087,6.8,5985,6.5,7.9,8.8
C-JAN-17-088,6.6,5287,6.4,7.9,8.7
C-JAN-17-089,6.59,9300,6.4,7.6,8.4
C-JAN-17-090,6.79,8446,6.5,7.7,8.7
C-JAN-17-091,6.64,6902,6.4,7.8,8.8
C-JAN-17-092,6.64,4488,6.4,8,8.8
C-JAN-17-093,6.64,4179,6.4,8,8.9
C-JAN-17-094,6.71,7832,6.5,7.7,9
C-JAN-17-095,6.55,7292,6.4,7.7,8.5
C-JAN-17-096,6.71,3517,6.5,8.1,9.3
C-JAN-17-097,7.37,5301,6.8,8.3,8.3
C-JAN-17-098,6.59,4398,6.4,8,8.7
C-JAN-17-099,6.55,5993,6.4,7.8,9.1
C-JAN-17-100,6.76,11854,6.5,7.5,8.3
C-JAN-17-101,6.59,6267,6.4,7.8,9.2
C-JAN-17-102,6.73,15645,6.5,7.4,8.1
C-JAN-18-001,6.62,5671,5.7,7.1,8.5
C-JAN-18-002,7.01,8575,5.9,7.1,8.2
C-JAN-18-003,6.83,6419,5.8,7.2,8
C-JAN-18-004,6.72,6767,5.7,7.1,8.1
C-JAN-18-005,6.86,3640,5.8,7.5,8.9
C-JAN-18-006,6.81,8093,5.8,7.1,8.2
C-JAN-18-007,6.6,4577,5.6,7.2,8.3
C-JAN-18-008,6.83,6413,5.8,7.2,8.2
C-JAN-18-009,7.04,12584,5.9,7,8
C-JAN-18-010,6.88,6410,5.8,7.2,8.3
C-JAN-18-011,6.63,9647,5.7,6.9,8.2
C-JAN-18-012,7.09,6159,5.9,7.4,7.7
C-JAN-18-013,7.07,10317,5.9,7.1,7.9
C-JAN-18-014,6.65,4626,5.7,7.3,8.3
C-JAN-18-015,6.96,8188,5.8,7.1,8.1
C-JAN-18-016,6.75,9458,5.7,7,8.1
C-JAN-18-017,6.67,9698,5.7,6.9,8
C-JAN-18-018,6.9,14250,5.8,6.8,7.9
C-JAN-18-019,6.9,5814,5.8,7.3,8.4
C-JAN-18-020,6.6,9550,5.6,6.9,7.8
C-JAN-18-021,6.68,10310,5.7,6.9,8.2
